Var,Relyear,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,count,Average,Sd,CV,id
Norris,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.54 ,56.40 ,,64.87 ,38.50 ,65.67 ,,55.04 ,64.76 ,,,,,,,7,57.83 ,9.53 ,0.164885484,423
Hyalite,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.04 ,50.82 ,,65.11 ,36.70 ,72.90 ,,,,,,,,,,5,55.71 ,13.93 ,0.25004263,
Bynum,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.33 ,53.94 ,59.71 ,39.60 ,62.55 ,,43.35 ,69.24 ,,,,,,,7,53.82 ,10.73 ,0.199359762,266
Willow Creek,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.77 ,42.23 ,,,,,,,,,,,,,2,43.50 ,1.80 ,0.041288534,
Decade,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.72 ,71.00 ,35.50 ,72.06 ,,55.80 ,67.40 ,55.90 ,59.48 ,80.71 ,48.32 ,53.59 ,55.45 ,12,59.99 ,12.08 ,0.201373354,292
Judee,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.18 ,43.20 ,72.40 ,,48.87 ,,60.97 ,60.47 ,85.18 ,49.45 ,55.73 ,52.63 ,10,59.61 ,12.60 ,0.211386918,337
Bearpaw,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.60 ,67.97 ,,55.36 ,68.72 ,53.32 ,60.10 ,64.08 ,42.90 ,57.89 ,,9,56.44 ,10.65 ,0.188641506,
Colter,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.70 ,63.72 ,61.08 ,65.11 ,94.67 ,,,,5,71.06 ,13.66 ,0.192250171,
WB3768,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14 ,71.37 ,55.38 ,63.03 ,100.62 ,,,,5,68.51 ,19.43 ,0.283572962,
Northern,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.80 ,74.62 ,62.04 ,61.23 ,103.84 ,52.04 ,56.50 ,57.74 ,8,65.35 ,16.99 ,0.259942858,425
Warhorse,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.62 ,,51.74 ,69.99 ,48.01 ,60.29 ,89.76 ,44.00 ,56.96 ,46.48 ,9,59.87 ,14.92 ,0.249169015,
SY Clearstone 2CL,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.55 ,74.83 ,58.45 ,58.02 ,98.44 ,47.81 ,61.81 ,56.81 ,8,64.46 ,15.61 ,0.242218656,
Spur,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.25 ,72.13 ,56.25 ,,,,,,3,61.21 ,9.47 ,0.154716646,
Loma,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.80 ,55.48 ,80.80 ,48.65 ,60.48 ,51.14 ,6,57.89 ,11.99 ,0.207080755,
FourOsix,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.74 ,50.36 ,60.31 ,57.53 ,4,66.74 ,21.74 ,0.325817799,
Flathead,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53 ,61.16 ,49.12 ,3,53.94 ,6.37 ,0.118078279,
Bobcat,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.06 ,62.73 ,62.62 ,3,60.47 ,3.82 ,0.063177768,261
Ray,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.26 ,60.60 ,58.90 ,3,57.25 ,4.41 ,0.076964343,
MTF1435,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88 ,55.03 ,,2,49.96 ,7.18 ,0.143671981,
StandClear CLP,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.54 ,61.58 ,2,58.56 ,4.27 ,0.072885758,
