"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-06","42","0","0","30","0","0.0","1.19","89","7872","2.42","0.0","61.2","74.5","48.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-07","165","0","0","37","0","0.0","0.97","93","66","1.63","0.0","66.8","82.5","51.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-08","206","0","0","40","0","0.0","0.30","91","126","0.74","0.0","64.4","80.6","48.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-09","227","0","0","23","0","0.0","1.27","88","491","2.36","0.0","53.5","66.4","40.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-10","227",,"2","21",,"5.0","0.61","70","1102","1.93","9.0","43.9","55.6","32.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-11","227","17","4","-26","7","6.0","0.25","63","2200","0.91","14.8","28.4","40.3","16.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1959-12","227","27","3","10","6","6.0","0.33","53","3311","0.67","13.0","29.1","38.2","20.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-01","0","31","4","-13","12","3.8","0.19","48","4694","0.78","12.9","20.4","29.9","10.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-02","0","29","7","-17","11","3.0","0.18","47","5975","0.71","14.3","20.8","30.4","11.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-03","0","22","6","-15","12","4.0","0.40","66","7010","1.78","16.9","31.6","43.2","20.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-04","0","4","4","18","5","8.0","0.61","72","7737","2.33","14.5","40.8","52.5","29.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-05","8","0","0","27","0","0.0","0.51","85","8218","2.33","0.0","49.8","63.8","35.7"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-06","14","0","0","32","0","0.0","0.52","84","8396","1.18","0.0","59.2","74.2","44.3"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-07","195","0","0","46","0","0.0","0.15","98","12","0.37","0.0","70.5","87.0","54.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-08","279","0","0","32","0","0.0","0.71","92","118","2.15","0.0","64.3","80.1","48.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-09","288","0","0","28","0","0.0","0.17","86","353","0.43","0.0","57.5","73.3","41.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-10","288","0","0","16","0","0.0","0.43","80","920","0.89","0.0","46.2","59.9","32.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-11","288","15","7","-1","7","8.0","0.26","62","1882","1.02","22.5","32.9","42.8","23.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1960-12","288","28","6","-3","8","3.0","0.18","51","3127","0.68","13.1","24.8","35.6","14.1"
