Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2007,585,39,13,-28,7,3.5,0.98,106,7851,12.13,29.3,45.2,58.7,31.7
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2008,289,46,16,-33,8,4,0.85,99,8307,11.96,34.8,42.2,56.4,28.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2009,301,92,15,-35,19,4.7,0.75,99,8814,8.78,40.6,41.2,54.7,27.7
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2010,224,123,16,-37,15,12,0.98,103,9092,14.85,60.8,40.2,52.7,27.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2011,353,80,16,-42,17,6,1.04,100,9453,12.28,37.8,42.5,55.3,29.7
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2012,492,51,11,-25,12,11.9,1.76,100,7090,12.85,40.2,45.4,59.5,31.4
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2013,429,89,18,-39,13,10.2,1.77,99,8082,19.2,51.7,43.5,56.3,30.6
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2014,387,54,11,-25,7,3,0.95,98,8609,11.74,23.2,43.2,56,30.4
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2015,403,47,13,-22,9,2.5,1.56,103,7440,12.22,24.5,45.5,59.2,31.8
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2016,332,50,9,-31,5,5,1.34,97,7164,19.3,21.7,45.7,58.4,33.1
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2017,506,80,25,-31,13,9.1,1.19,103,7911,8.11,56.2,44.3,57.7,30.8
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2018,402,107,22,-36,26,7,0.57,105,9277,9.91,60.4,41,53.7,28.3
